n,t,Term,id,paper_list,affiliation
Mark Sh. Levin,system component; design alternative; atomic system function; composite system; multi-function system testing; system change; system model; Web-hosting system; system configuration; system forecast,"['system', 'compon', 'design', 'altern', 'atom', 'system', 'function', 'composit', 'system', 'multi-funct', 'system', 'test', 'system', 'chang', 'system', 'model', 'web-host', 'system', 'system', 'configur', 'system', 'forecast']",23253,"1. Towards Combinatorial Analysis, 2. Adaptation, 3. and Planning of Human-Computer Systems, 4. Hierarchical Components of Human-Computer Systems, 5. Hierarchical Design of User Interfaces","Department of Mechanical Engineering, Faculty of Engineering, The BenGurion University of the Negev, Beer Sheva, Israel. <rfc822>marksh@bgumail.bgu.ac.il</rfc822>;Institute for Information Transmission Problems (Kharkevich Institute), Russian Academy of Sciences, Moscow, Russia;Inst. for Inform. Transmission Problems, Russian Academy of Sciences, 19 Bolshoj Karetny lane, Moscow 127994, Russia
"
Shouyi Zhan,new method; GPUA method; ImagesA method; effective method; efficient sub-window search method; hybrid rendering method; interactive subdivide method; linear calculation method; localization method; novel method,"['new', 'method', 'gpua', 'method', 'imagesa', 'method', 'effect', 'method', 'effici', 'sub-window', 'search', 'method', 'hybrid', 'render', 'method', 'interact', 'subdivid', 'method', 'linear', 'calcul', 'method', 'local', 'method', 'novel', 'method']",23292,"1. Efficient view-dependent rendering of terrains, 2. Ocean Wave Simulation under Wind Change Effect, 3. 3D Tree Models Reconstruction from a Single Image, 4. Fast Modeling of Curved Object from Two Images, 5. A Data Flow Optimization Based Approach for BPEL Processes Partition","Department of Computing Science, Beijing Institute of Technology
"
Xiaoqing Zhu,video stream; video quality; rate allocation; multiple video; multiple video stream; Layered internet video engineering; balanced video quality; total video distortion; video distortion-rate; video packet,"['video', 'stream', 'video', 'qualiti', 'rate', 'alloc', 'multipl', 'video', 'multipl', 'video', 'stream', 'layer', 'internet', 'video', 'engin', 'balanc', 'video', 'qualiti', 'total', 'video', 'distort', 'video', 'distortion-r', 'video', 'packet']",23301,"1. Light field compression using disparity-compensated lifting, 2. Distributed rate allocation for video streaming over wireless networks with heterogeneous link speeds, 3. Rate allocation for multi-user video streaming over heterogenous access networks, 4. Towards heterogeneous network convergence: policies and middleware architecture for efficient flow assignment, 5. rate allocation and rate control for multimedia applications","Dept. of Electr. Eng., Stanford Univ., CA, USA;Cisco Systems Inc., San Jose, CA, USA
"
K. E. Chang,simulation-based learning; Computer-assisted learning; different learning model; conventional cooperative learning environment; game-based learning; laboratory learning; learning model; learning performance factor; life-long learning; lifelong learning,"['simulation-bas', 'learn', 'computer-assist', 'learn', 'differ', 'learn', 'model', 'convent', 'cooper', 'learn', 'environ', 'game-bas', 'learn', 'laboratori', 'learn', 'learn', 'model', 'learn', 'perform', 'factor', 'life-long', 'learn', 'lifelong', 'learn']",23307,"1. Constrained via minimization for three-layer routing, 2. Neural simulation of Petri nets, 3. Attributed concept maps: fuzzy integration and fuzzy matching","Department of Information and Computer Education, National Taiwan Normal University, Taipei, Taiwan, R.O.C.
"
Heng Yin,spam laundering; application-aware IPsec policy; upper layer; security mechanism; IPsec service; application-aware IPsec policy system; application-specific IPsec policy; current IPsec; current IPsec policy system; enhanced IPsec,"['spam', 'launder', 'application-awar', 'ipsec', 'polici', 'upper', 'layer', 'secur', 'mechan', 'ipsec', 'servic', 'application-awar', 'ipsec', 'polici', 'system', 'application-specif', 'ipsec', 'polici', 'current', 'ipsec', 'current', 'ipsec', 'polici', 'system', 'enhanc', 'ipsec']",23319,"1. An effective defense against email spam laundering, 2. Practical Implementations of a Non-disclosure Fair Contract Signing Protocol, 3. Building an application-aware IPsec policy system, 4. Renovo: a hidden code extractor for packed executables, 5. Panorama: capturing system-wide information flow for malware detection and analysis","The College of William and Mary, Williamsburg, VA;Carnegie Mellon University, Pittsburgh, PA;Syracuse University / Unversity of California, Berkeley, Syracuse, USA
"
Jianxin Liao,SIP network; home network; IMS network; multiple network interface; simulation result; session setup delay; different network condition; network resource; social network; Mobile IP,"['sip', 'network', 'home', 'network', 'im', 'network', 'multipl', 'network', 'interfac', 'simul', 'result', 'session', 'setup', 'delay', 'differ', 'network', 'condit', 'network', 'resourc', 'social', 'network', 'mobil', 'ip']",23323,"1. IIN model: modifications and case study, 2. A System Model and Protocol for Mobile Payment, 3. Consistency Control Algorithm for the Cache of Voice Platform Based on VoiceXML, 4. A Novel Method for the Short Message or Multimedia Message Synchronization, 5. Mobile Terminal Capability Management for Services Enabling","Beijing University of Posts and Telecommunications
"
J. Zhao,maximal diagnosis; address line; Adaptive Diagnosis Algorithm; multiple fault; Fault Detection; detail router; C algorithm; random access memory; Concurrent Detection Algorithm; bus-connected multi RAM system,"['maxim', 'diagnosi', 'address', 'line', 'adapt', 'diagnosi', 'algorithm', 'multipl', 'fault', 'fault', 'detect', 'detail', 'router', 'c', 'algorithm', 'random', 'access', 'memori', 'concurr', 'detect', 'algorithm', 'bus-connect', 'multi', 'ram', 'system']",23336,"1. Optimal filter for edge detection methods and results, 2. Approximate parametrization of algebraic curves, 3. On-line for gauge control of calendering process, 4. Large critical current densities in YBa2CU3O7-X thin films formed by plasma-enhanced metalorganic chemical vapor deposition at reduced temperature, 5. Pitch extraction and separation of overlapping speech","Texas A&M Univ., College Station;FPGA Software Core Group, Lucent Technologies, 1247 S Cedar Crest Boulevard, Allentown PA 18103, USA
"
Jianhua Zhao,fault tolerance; case study; web service; UML interaction model; UML model; Web Service interface model; formal model; model checking; orchestration model; Multi-core platform,"['fault', 'toler', 'case', 'studi', 'web', 'servic', 'uml', 'interact', 'model', 'uml', 'model', 'web', 'servic', 'interfac', 'model', 'formal', 'model', 'model', 'check', 'orchestr', 'model', 'multi-cor', 'platform']",23337,"1. Message conversion and a new type system for OO model, 2. Partial Order Path Technique for Checking Parallel Timed Automata, 3. STAD Modeling Method for Computer Supported Group Learning, 4. A quadratic-time DBM-based successor algorithm for checking timed automata, 5. A Model Driven Development Framework for Enterprise Web Services","Department of Computer Science and Technology, Nanjing University, Nanjing, 210093, P.R.China
"
ZhangBing Zhou,Web service; service protocol; service interaction; public process; data dependency; sensor network; direct service interaction; suitable service protocol; process mediator; service modeler,"['web', 'servic', 'servic', 'protocol', 'servic', 'interact', 'public', 'process', 'data', 'depend', 'sensor', 'network', 'direct', 'servic', 'interact', 'suitabl', 'servic', 'protocol', 'process', 'mediat', 'servic', 'model']",23342,"1. Transmitting streaming data in wireless multimedia sensor networks with holes, 2. EGF-Tree: An Energy Efficient Index Tree for Facilitating Multi-region Query Aggregation in the Internet of Things","National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland and TELECOM SudParis, UMR 5157 CNRS Samovar, France
"
Hyunsang Youn,agent development; support tool; proposed system; development process; reverse engineering; HQPNs model; Queueing network model; software architecture; E-commerce system development example; agent-based system,"['agent', 'develop', 'support', 'tool', 'propos', 'system', 'develop', 'process', 'revers', 'engin', 'hqpn', 'model', 'queue', 'network', 'model', 'softwar', 'architectur', 'e-commerc', 'system', 'develop', 'exampl', 'agent-bas', 'system']",23348,"1. Next Generation Agent Development Supporting Tool: Case Study, 2. Automatic Detection of Design Pattern for Reverse Engineering, 3. Deriving Queuing Network Model for UML for Software Performance Prediction, 4. Software Dependability Analysis Methodology, 5. Automatic generation techniques of a resource monitor based on deployment diagram","Sungkyunkwan University;300 Cheoncheondong, Jangangu, Suwon, Korea 440746
"
Masao Yanagisawa,processor core; timing constraint; full-resource SIMD processor; experimental result; test cost; area-optimized processor core; processor kernel; SIMD instruction set; SIMD processor coresThis paper; SIMD processor synthesis,"['processor', 'core', 'time', 'constraint', 'full-resourc', 'simd', 'processor', 'experiment', 'result', 'test', 'cost', 'area-optim', 'processor', 'core', 'processor', 'kernel', 'simd', 'instruct', 'set', 'simd', 'processor', 'coresthi', 'paper', 'simd', 'processor', 'synthesi']",23352,"1. An area/time optimizing algorithm in high-level synthesis for control-based hardwares (short paper), 2. VLSI Architecture for a Flexible Motion Estimation with Parameters, 3. A thread partitioning algorithm in low power high-level synthesis, 4. A cosynthesis algorithm for application specific processors with heterogeneous datapaths, 5. Instruction set and functional unit synthesis for SIMD processor cores","Dept. of Electronics, Information and Communication Engineering, Waseda University, 341 Okubo, Shinjuku, Tokyo 1698555, Japan
"
Donghee Shin,social presence; MVNO diffusionThis study; in-depth case study approach; study attempt; study empirically; study show; social isolation; ubiquitous computing; predictive model; proposed model,"['social', 'presenc', 'mvno', 'diffusionthi', 'studi', 'in-depth', 'case', 'studi', 'approach', 'studi', 'attempt', 'studi', 'empir', 'studi', 'show', 'social', 'isol', 'ubiquit', 'comput', 'predict', 'model', 'propos', 'model']",23360,"1. Community Network Development: A Dialectical View, 2. How does interactivity contribute to a smart TV user experience?","School of Information Sciences and Technology, The Pennsylvania State University at Berks, Reading, PA;P.O. Box 7009, Tulpehocken Road, Reading, PA 19610–6009;Department of Interaction Science, Sung Kyung Kwan University, 53 Myeongnyundong 3ga, Jongnogu, Seoul 110745, South Korea
"
Piotr Rudnicki,framework constraint; Mizar system; framework usage; API conformance rule; FCL language; FCL specification; framework-based application; MIZAR Mathematical Library; MIZAR formalization; MIZAR language,"['framework', 'constraint', 'mizar', 'system', 'framework', 'usag', 'api', 'conform', 'rule', 'fcl', 'languag', 'fcl', 'specif', 'framework-bas', 'applic', 'mizar', 'mathemat', 'librari', 'mizar', 'formal', 'mizar', 'languag']",23452,"1. Proving properties of Pascal programs in MIZAR 2, 2. Proving properties of Pascal programs in MIZAR 2: figures and appendices, 3. Proceedings of the eighth annual ACM Symposium on Principles of distributed computing, 4. LANSF: a protocol modelling environment and its implementation, 5. Dynamic recognition of the configuration of bus networks","The Univ. of Alberta, Alberta, Canada
"
L. D. Rudolph,spherical code; binary cyclic code; convolutional code; cyclic code; ArticleThreshold decoding; One-step weighted-majority decoding; decoding function; decoding time; general decoding method; base code,"['spheric', 'code', 'binari', 'cyclic', 'code', 'convolut', 'code', 'cyclic', 'code', 'articlethreshold', 'decod', 'one-step', 'weighted-major', 'decod', 'decod', 'function', 'decod', 'time', 'gener', 'decod', 'method', 'base', 'code']",23466,"1. On Two-Level Exclusive-or Majority Networks, 2. A Direct Method of Computing the GNAF of an Integer, 3. Dual-Mode Logic for Function-Independent Fault Testing, 4. A Relationship Between Output Symbol Occurrence Rate and Observability of Autonomous Machines, 5. Iteratively maximum likelihood decodable spherical codes and a method for their construction","Department of Systems and Information Sciences, Syracuse University, Syracuse, N. Y.
"
Kevin F. White,Cross-organizational information reuse; small organization; cross-organizational knowledge sharing; critical mass; cross-organizational information sharing; high-value information; impact cross-organizational information; information discovery; information flow; information management,"['cross-organiz', 'inform', 'reus', 'small', 'organ', 'cross-organiz', 'knowledg', 'share', 'critic', 'mass', 'cross-organiz', 'inform', 'share', 'high-valu', 'inform', 'impact', 'cross-organiz', 'inform', 'inform', 'discoveri', 'inform', 'flow', 'inform', 'manag']",23488,"1. Behind the curtain: lessons learned from a Wizard of Oz field experiment, 2. Insightful illusions: requirements gathering for large-scale groupware systems, 3. Midweight collaborative remembering: wikis in the workplace, 4. Structuring cross-organizational knowledge sharing, 5. Towards virtualizing the helpdesk: assessing the relevance of knowledge across distance","UMBC, Baltimore, MD;Dept. of Information Systems, University of Maryland, Baltimore County, Baltimore, USA MD 21250;University of Chicago
"
